JPM	271025	293723	309926	317233	318512
BAC	208000	217000	213000	213000	213000
WFC	247848	238000	226000	217000	205000
C	223400	240000	239000	239000	226000
MS	75000	82000	80000	80000	82992
GS	43900	48500	45300	46500	47400
AXP	64000	77300	74600	75100	76800
SCHW	33400	35300	33000	32100	33000
COF	50767	55943	51987	52600	76300
USB	68796	78192	75465	70263	68520
MTB	17569	22808	22223	22354	22278
TFC	52641	55126	50832	38335	38711
STT	38784	42226	46000	53000	52000
FITB	19113	19319	18724	18616	18676
AMP	12000	13500	13800	13600	13600
HBAN	18444	19920	19955	19932	20424
NTRS	21100	23600	23100	23300	23800
RJF	15000	17000	18000	19000	19500
CFG	17462	18889	17570	17287	17398
RF	19626	20073	20101	19644	19969
KEY	17654	18891	17333	16753	17883
SYF	18000	18500	20000	20000	20000
FCNCA	6846	10684	16021	17475	18141
SOFI	2500	4200	4400	5000	6100
EWBC	3100	3155	3206	3100	3350
PNFP	2841	3242	3357	3565	8389
ALLY	9500	11600	11100	10700	10300
WBS	3245	4193	4261	4407	4601
FHN	7867	7542	7378	7252	7404
SF	8600	9000	9000	9000	9000
WTFC	5239	5275	5521	5903	5902
UMBF	3529	3770	3599	3698	5222
BPOP	8500	8900	9237	9406	9238
SSB	4929	4921	5070	4986	6190
COLB	2260	2093	5114	4721	6005
WAL	3139	3365	3260	3524	3769
CBSH	4537	4598	4728	4687	4737
BOKF	4711	4791	4877	5056	5034
VLY	3370	3826	3749	3732	3675
PB	3704	3633	3850	3916	3941
FNB	4180	4190	4228	4280	4282
GBCI	3559	3552	3358	3595	4139
UBSI	2966	2765	2635	2553	2694
FLG	2815	7497	8766	6993	5631
BNY	49100	51700	53400	51800	48100
PNC	59423	61545	56411	55184	55333
ZION	9685	9989	9679	9406	9195
ONB	2374	3967	3940	4066	4971
CFR	4553	4985	5495	5854	6008
CBC	2790	2793	2800	2277	3036
