JPM	121642	128695	154990	177453	182447	199408	35638	38842	43348	47853	50873	53240	71336	75874	82836	90332	96042	46503	35892	47760	56868	55681	63634	2782
BAC	89113	94950	102769	105856	113097	119237	33140	33547	35388	36749	38345	39309	59731	61438	65845	66812	69727	30557	26015	24656	25344	29055	32125	7681
WFC	79166	74368	82597	82296	83699	86796	34536	33362	34707	34448	34805	35066	53341	53897	53662	54355	55113	20818	12562	17982	18606	20285	21615	3242
C	71887	75305	78090	80672	85213	91379	23449	24816	27413	26767	27779	29056	47520	51811	56629	53644	55179	20758	13700	7850	11458	13021	16457	1873
MS	59755	53668	54143	61761	70645	78042	24628	22920	24558	26178	29072	30912	36389	35575	37660	40177	44053	14566	10540	8530	12800	16249	19547	1592
GS	59339	47365	46254	53512	58283	66203	17719	15148	15499	16706	18906	20861	31795	30850	32265	33373	37145	21116	10711	7856	13476	16244	19982	318
MTB	5992	8179	9643	9279	9690	9961	1961	2574	2879	3046	3206	3246	3568	4712	5379	5359	5493	1777	1891	2636	2449	2699	2874	159
AXP	42380	52862	60515	65949	72229	75950	6250	7110	7888	8075	8920	9474	33853	40658	44858	48427	53318	7917	7400	8252	9995	10701	11311	696
SCHW	18520	20762	18934	19606	23921	26025	5167	5716	5836	6023	6491	6859	10353	10993	11420	11767	12494	5360	6635	4649	5478	8418	9723	1809
COF	30435	34250	36787	39112	53434	62023	7057	8075	8750	8787	11642	13593	16570	19153	20316	21486	30498	11965	7044	4582	4445	2181	10195	541
BNY	15931	16529	17697	18619	20080	21367	6013	6435	6682	6427	6329	6400	11514	12330	13295	12480	12912	3550	2345	3067	4336	5306	6024	NA
PNC	19211	21120	21490	21555	23099	25026	7141	7244	7428	7302	7782	8382	13002	13170	14012	13524	13834	DER	DER	5126	5496	6576	NA	NA
USB	22721	24184	28013	27335	28540	29583	8521	8955	10192	10322	10092	10168	13728	14577	17864	17033	16837	7605	5501	5051	5909	7194	7797	1558
TFC	22296	19973	20022	13278	20319	20850	8312	6297	6467	6295	6531	6768	14294	11701	12600	12009	12076	6033	5927	-1452	4469	4974	5533	1303
STT	12027	12148	11945	13000	13944	15056	4327	4130	4354	4489	4556	4768	8827	8658	8993	9433	9888	2572	2660	1821	2483	2717	3221	289
FITB	7920	8386	8708	8479	9017	10766	2506	2389	2525	2599	2652	3127	4745	4717	5205	5033	5144	DER	DER	DER	DER	DER	NA	NA
AMP	13389	14334	16096	17926	18911	19839	NA	NA	NA	NA	NA	NA	8534	9102	10483	11468	12161	3417	3149	2556	3401	3563	3948	98
HBAN	5983	7245	7347	7367	8155	9712	2197	2282	2529	2701	2815	3247	4367	4192	4561	4544	4837	1153	2125	1817	1801	2087	2246	1505
NTRS	6465	6761	6774	8290	8086	9052	2347	2560	2609	2770	2907	2989	4536	4983	5200	5609	5770	1491	1282	1054	1972	1679	2181	192
RJF	9781	10901	11642	12842	14052	15222	6535	7269	7219	8171	9037	9932	7842	8793	9154	10080	11258	1401	1502	1728	2059	2127	2299	NA
CFG	6647	8021	8224	7809	8247	8726	2073	2465	2512	2560	2678	2796	4081	4892	5282	5203	5337	DER	DER	DER	DER	DER	NA	NA
RF	6436	7165	7576	7083	7526	7617	2142	2258	2355	2456	2547	2620	3701	4065	4413	4239	4318	DER	DER	DER	DER	DER	NA	NA
KEY	7265	7245	6383	4574	7478	7784	2457	2446	2458	2612	2769	2912	4429	4410	4463	4518	4708	2519	1799	824	-304	1686	1887	1108
SYF	10192	11674	13627	16125	14981	15032	1501	1681	1884	1872	2093	2109	3859	4164	4470	4647	4946	4179	2974	2196	3427	3469	3435	NA
FCNCA	1898	4644	8979	9760	9550	9639	759	1389	2631	3078	3294	3379	1205	2844	4865	5512	5909	DER	DER	DER	DER	DER	NA	NA
SOFI	984.87	1574	2123	2675	3613	4306	227.27	288.16	260.55	232.69	247.99	267.15	1431	1819	2122	2410	3057	-524.36	-360.83	-341.17	479.14	481.32	636.26	1252
