ticker	date	kind	summary	url
JPM	2025-05-22	ai	First big bank to roll out gen AI to nearly all employees: LLM Suite at 200,000 users by mid-2025	https://www.americanbanker.com/news/how-jpmorganchase-democratized-employee-access-to-gen-ai
JPM	2026-03-06	ai	Completes global LLM Suite rollout to 230,000 employees; ~$1.5B in AI business value targeted this year	https://api.finexus.net/api/news/events/17dedc10-46e8-478f-93b2-c5fec9b32989/html
JPM	2026-02-24	workforce	Dimon: "huge redeployment plans... we have displaced people from AI"; ops staff -4% while client-facing roles +4%	https://www.cnbc.com/2026/02/24/jpm-ceo-jamie-dimon-ai-reshaping-workforce-redeployment.html
BAC	2025-04-08	ai	AI adoption across global workforce: Erica for Employees used by >90% of 213,000 staff; gen AI coding and call-center tools	https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/04/ai-adoption-by-bofa-s-global-workforce-improves-productivity--cl.html
BAC	2026-07-21	ai	EricaAssist gains gen AI for 18,000 service reps; cuts average call times by nearly a minute	https://newsroom.bankofamerica.com/content/newsroom/press-releases/2026/07/bank-of-america-enhances-ericaassist-with-generative-ai-to-help-.html
BAC	2026-01-15	workforce	Moynihan expects headcount to fall in 2026: "work the headcount through operational excellence and... AI"; attrition-based	https://www.bankingdive.com/news/bank-of-america-citi-wells-fargo-headcount-banking-job-cuts-2026/809756/
MS	2026-02-11	ai	Wealth head Jed Finn: building AI "super agents" from thousands of smaller agents to open accounts, move money, build portfolios	https://www.financial-planning.com/news/behind-the-marvel-movie-inspired-ai-super-agents-coming-to-morgan-stanley
MS	2026-03-04	workforce	Laid off ~2,500 (3% of workforce) across all divisions despite record 2025 revenue; advisors spared	https://www.reuters.com/business/world-at-work/morgan-stanley-lays-off-2500-employees-across-all-divisions-wsj-reports-2026-03-04/
MS	2026-03-08	workforce	NY Post sources: the 3% layoff round was largely about replacing back-office workers with AI systems	https://nypost.com/2026/03/07/business/wall-street-executives-say-morgan-stanleys-latest-layoffs-caused-by-ai-sources/
GS	2025-06-23	ai	Firmwide launch of GS AI Assistant via internal memo; summarizes documents, drafts content, analyzes data	https://www.reuters.com/business/goldman-sachs-launches-ai-assistant-firmwide-memo-shows-2025-06-23/
