JPM	467966	393343	491761	674865	877167	140.57	122.80	160.41	231.45	317.71	10.06	10.96	10.30	11.87	15.75
BAC	364110	265703	266455	337223	401637	39.76	30.28	31.75	42.49	54.41	11.92	10.21	10.81	13.31	13.82
MS	176139	143693	153052	202539	282150	84.29	75.58	86.10	120.31	174.65	12.09	13.63	17.94	15.82	17.36
GS	133434	121752	132489	188516	275760	342.35	315.40	365.57	555.78	870.56	6.32	11.37	16.86	13.99	16.98
WFC	191307	157335	178749	233863	292563	42.64	37.56	46.17	67.63	91.69	9.19	12.53	9.94	12.57	14.42
MTB	19763	25039	22750	31195	30966	133.13	129.21	127.04	179.96	198.70	11.12	13.24	8.63	12.74	11.47
AXP	126717	110404	136523	209072	254841	NA	NA	NA	NA	NA	16.01	14.92	16.54	20.92	23.82
C	119830	87604	98450	133126	208789	51.28	39.95	47.54	67.47	114.95	5.77	6.39	12.54	11.62	16.04
SCHW	158999	155425	125446	135479	177534	78.84	78.92	66.32	72.40	98.93	29.66	23.43	26.99	24.73	21.09
COF	60047	35447	49877	67981	151500	145.09	92.96	131.12	178.32	242.36	5.39	5.19	10.97	15.39	60.14
PNC	84748	63700	61683	76520	81855	167.94	136.71	140.42	181.69	203.94	15.67	11.16	12.03	13.92	12.45
USB	83289	66734	67387	74616	82945	45.88	37.10	38.88	44.96	52.37	10.95	12.13	13.34	12.63	11.53
TFC	78158	57091	49239	57588	62952	46.37	35.46	32.41	40.10	47.74	12.96	9.63	NA	12.89	12.66
STT	34036	27074	23389	28342	36004	93.00	77.57	77.46	98.15	129.01	12.93	10.79	13.88	11.95	13.72
FITB	29778	22521	23488	28351	30942	36.62	28.58	31.56	40.14	46.06	11.23	9.67	10.62	13.16	13.02
AMP	33442	32781	38049	51202	44750	301.66	311.37	379.83	532.43	490.34	10.59	11.24	16.02	16.11	13.52
HBAN	22170	20347	18423	23651	27200	15.42	14.10	12.72	16.27	17.35	17.13	9.72	10.26	13.34	12.48
NTRS	24850	18444	17309	20087	25452	119.61	88.49	84.38	102.50	136.59	16.75	14.41	16.61	10.49	15.63
RJF	18986	21258	20967	24895	34199	92.28	98.82	100.43	122.46	172.60	13.92	14.16	12.60	12.62	16.76
CFG	19946	19381	15457	19278	25072	47.25	39.37	33.14	43.76	58.41	9.16	9.60	10.59	14.44	15.13
RF	20782	20147	18025	21376	23763	18.04	18.46	17.41	22.11	26.59	8.66	9.39	9.12	12.05	11.53
KEY	21484	16259	13487	18970	22754	23.13	17.42	14.40	17.14	20.64	8.79	9.03	16.36	NA	13.58
SYF	25387	14805	15803	25307	30049	41.70	30.27	36.25	63.08	82.40	6.08	4.98	7.20	7.39	8.66
FCNCA	8146	11001	20604	28986	26053	829.84	758.36	1418.97	2113.02	2146.18	15.40	11.25	1.81	11.16	12.99
SOFI	12757	4278	9539	16711	32999	NA	NA	NA	NA	NA	NA	NA	NA	34.88	68.56
EWBC	11165	9288	10075	13257	15462	78.68	65.90	71.95	95.76	112.39	12.90	8.32	8.80	11.50	11.81
PNFP	7272	5612	6696	8836	NA	95.50	73.40	87.22	114.39	NA	14.15	10.24	12.22	19.19	NA
ALLY	16494	7302	10533	10973	13952	40.50	21.51	32.10	34.14	44.36	5.49	4.55	12.44	19.66	18.80
WBS	5058	8238	8732	9464	10147	55.84	47.34	50.76	55.22	62.94	12.63	12.73	10.34	12.64	10.67
FHN	8713	13159	7913	10559	11587	16.33	24.50	14.16	20.14	23.90	9.39	16.01	9.19	14.81	12.78
SF	7331	6204	7053	10858	12751	43.03	36.33	44.04	68.87	82.69	9.29	9.93	14.54	15.64	19.72
WTFC	5177	5136	5680	8292	9364	83.88	79.23	88.74	121.42	138.34	11.82	10.66	9.55	12.43	12.10
UMBF	5131	4035	4055	5507	8738	98.29	78.67	80.41	110.43	114.23	14.54	9.35	11.58	12.48	12.76
BPOP	6551	4765	5922	6597	8183	82.04	66.32	82.07	94.06	124.52	7.16	4.53	10.91	10.99	10.12
ZION	9577	7308	6499	8022	8644	63.16	49.16	43.87	54.25	58.54	9.30	8.49	10.09	10.96	9.74
BNY	46705	36800	39524	55139	79897	58.08	45.52	52.05	76.83	116.09	14.03	15.81	13.38	13.25	15.69
ONB	3005	5266	4942	6923	8718	15.78	16.18	15.78	20.90	22.04	10.83	12.72	8.73	13.24	13.35
SSB	5554	5781	6420	7593	9330	80.11	76.36	84.45	99.48	94.11	11.94	11.57	13.07	14.27	11.96
CFR	8067	8604	6963	8619	8097	126.07	133.70	108.49	134.25	126.63	18.65	15.18	11.92	15.14	12.77
COLB	4168	3874	5565	5659	8360	24.98	24.28	23.07	24.93	27.27	9.92	11.51	15.95	10.60	15.23
WAL	11479	6487	7202	9194	9206	107.65	59.56	65.79	83.54	84.07	12.42	6.14	10.06	11.78	9.63
CBSH	8347	8120	6636	8376	7208	56.55	58.80	48.45	59.34	52.34	15.95	17.64	14.68	16.08	12.96
BOKF	7236	6980	5624	6826	7181	105.49	103.79	85.65	106.45	118.46	11.79	13.51	10.68	13.08	12.92
VLY	5795	5727	5514	5063	6501	13.75	11.31	10.86	9.06	11.68	12.28	9.92	11.43	13.13	11.56
PB	6664	6637	6348	7179	6431	72.30	72.68	67.73	75.35	69.11	12.91	12.68	15.02	14.92	12.08
FNB	3869	4704	4941	5315	6110	12.13	13.05	13.77	14.78	17.10	9.86	10.70	10.51	11.64	10.96
GBCI	6276	5475	4582	5695	5725	56.70	49.42	41.32	50.22	44.05	19.76	18.04	20.56	29.89	22.14
